persona_id,name,plan,age,lang,profile,xp,flight_level,momentum_score,momentum_league,active_weeks,weekly_scores,maturity_index,maturity_rank,cmi,rmi,route_proven,route_proven_count,breadth_index,breadth_descriptor,trust_state,title_eligibility,prestige_pei,prestige_nomination,achievements,achievement_ids,cxw,sex,team_contrib,practical,capstone,missions,integrity_hold,clusters,horizons,ldb_mastery_eligible,ldb_momentum_eligible,expected,issues,result,cohort,seed,formula_frm_mat,formula_frm_mom,formula_frm_xp
CAL-20260721-A-0017,Cal A 17,Expedition,adult,ar,merit,995,4,70.0,Gold,7,60.0|50.0|85.0|60.0|0.0|75.0|80.0|60.0,62.5,Pathfinder,80.0,80.0,1,1,50.75,Multi-Horizon,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,70.4,NOT_ELIGIBLE,6,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,2,2,1,5,0,6,LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0018,Cal A 18,FlightPass,adult,en,returning,540,3,64.17,Gold,6,85.0|0.0|0.0|65.0|60.0|75.0|50.0|50.0,45.0,Scout,83.33,49.0,0,0,38.75,Expanding,POSITIVE_STANDING,NOT_ELIGIBLE,59.2,NOT_ELIGIBLE,5,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001|ACH-RET-001|ACH-TEAM-001,0,0,1,6,0,7,0,4,BLD|OPR|PRT,0,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0019,Cal A 19,Expedition,adult,en,a11y_compressed,420,3,50.0,Silver,5,40.0|0.0|0.0|75.0|85.0|0.0|40.0|60.0,42.5,Scout,95.0,49.0,0,0,33.75,Expanding,POSITIVE_STANDING,NOT_ELIGIBLE,54.2,NOT_ELIGIBLE,4,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001|ACH-TEAM-001,0,0,1,4,0,3,0,3,LED|OPR|PRT,0,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0020,Cal A 20,Expedition,adult,ar,new,310,3,39.17,Bronze,6,10.0|40.0|10.0|0.0|65.0|60.0|50.0|0.0,16.25,Hatchling,30.0,30.0,0,0,33.75,Expanding,POSITIVE_STANDING,NOT_ELIGIBLE,37.75,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-EVD-001|ACH-TEAM-001,0,0,4,0,0,3,0,3,LED|OPR|PRT,0,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0021,Cal A 21,OpenFlight,adult,en,new,310,3,35.0,Bronze,5,0.0|0.0|50.0|10.0|0.0|40.0|60.0|50.0,37.5,Scout,85.0,49.0,0,0,22.5,Focused,POSITIVE_STANDING,NOT_ELIGIBLE,47.45,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-EVD-001|ACH-TEAM-001,0,0,3,2,0,2,0,2,BLD|OPR,0,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0022,Cal A 22,WingPass,adult,en,steady,910,4,62.5,Gold,7,65.0|60.0|75.0|50.0|0.0|75.0|50.0|50.0,63.75,Pathfinder,81.67,81.67,1,1,52.0,Multi-Horizon,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,72.65,NOT_ELIGIBLE,6,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,1,4,1,5,0,5,BLD|LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0023,Cal A 23,FlightPass,adult,en,steady,960,4,75.83,Platinum,6,65.0|75.0|85.0|90.0|0.0|60.0|80.0|0.0,58.75,Pathfinder,83.33,83.33,1,1,43.75,Expanding,NORMAL,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,64.5,NOT_ELIGIBLE,6,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-EVD-002|ACH-LRN-001|ACH-MST-001,0,0,0,4,1,5,0,5,BLD|LED|OPR,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0024,Cal A 24,WingPass,adult,en,paid_idle,0,1,0.0,Iron,0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0,0.0,Hatchling,0.0,0.0,0,0,0.0,Focused,UNESTABLISHED,NOT_ELIGIBLE,1.5,NOT_ELIGIBLE,0,,0,0,0,0,0,0,0,0,,0,0,"{'xp': '0_or_near', 'momentum': 'Iron', 'mastery': 'none', 'route_proven': 'no'}",,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0025,Cal A 25,FlightPass,adult,en,prestige,1405,5,74.17,Gold,8,65.0|85.0|50.0|75.0|75.0|70.0|75.0|50.0,87.5,Vanguard,100.0,100.0,1,2,80.0,Integrated,ELEVATED_RESPONSIBILITY_ELIGIBLE,INTEGRATED_TEMPLATE_ELIGIBLE_FOR_REVIEW,92.25,ELIGIBLE_ASCENDANT_NOMINATION,10,ACH-ACT-001|ACH-BRD-001|ACH-CAP-001|ACH-CXW-001|ACH-EVD-001|ACH-LIVE-001|ACH-LRN-001|ACH-MST-001|ACH-SEX-001|ACH-TEAM-001,1,1,1,8,1,5,0,8,BLD|LED|OPR|PRT,1,1,"{'prestige_auto_grant': 'no', 'nomination_possible': 'yes'}",,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0026,Cal A 26,MeritRoute,adult,en,high_act_low_ev,720,4,56.67,Silver,8,50.0|60.0|50.0|50.0|60.0|60.0|60.0|50.0,21.25,Fledgling,0.0,0.0,0,0,60.0,Multi-Horizon,NORMAL,NOT_ELIGIBLE,26.75,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-LRN-001|ACH-TEAM-001,0,0,2,0,0,18,0,7,BLD|LED|OPR|PRT,0,1,"{'high_xp': 'yes', 'route_proven': 'no', 'title': 'no', 'prestige': 'no', 'mastery_strong': 'no'}",,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0027,Cal A 27,WingPass,adult,en,high_act_low_ev,430,3,55.0,Silver,7,40.0|50.0|60.0|0.0|40.0|50.0|70.0|60.0,18.75,Hatchling,0.0,0.0,0,0,65.0,Multi-Horizon,NORMAL,NOT_ELIGIBLE,25.25,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-LRN-001|ACH-TEAM-001,0,0,1,0,0,16,0,8,BLD|LED|OPR|PRT,0,1,"{'high_xp': 'yes', 'route_proven': 'no', 'title': 'no', 'prestige': 'no', 'mastery_strong': 'no'}",,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0028,Cal A 28,OpenFlight,adult,en,steady,1050,5,71.67,Gold,7,65.0|85.0|50.0|90.0|0.0|60.0|80.0|50.0,63.75,Pathfinder,81.67,81.67,1,1,45.75,Expanding,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,71.4,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-EVD-002|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,1,5,1,5,0,5,BLD|OPR|PRT,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0029,Cal A 29,WingPass,adult,ar,a11y_compressed,110,2,28.33,Iron,4,0.0|40.0|0.0|0.0|40.0|0.0|40.0|50.0,5.0,Hatchling,40.0,40.0,0,0,5.0,Focused,NORMAL,NOT_ELIGIBLE,19.75,NOT_ELIGIBLE,2,ACH-ACT-001|ACH-EVD-001,0,0,0,0,0,1,0,1,BLD,0,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0030,Cal A 30,WingPass,adult,en,team_strong,1305,5,71.67,Gold,8,50.0|75.0|10.0|65.0|60.0|60.0|85.0|85.0,66.25,Specialist,83.33,83.33,1,1,52.0,Multi-Horizon,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,80.65,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LIVE-001|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,6,5,1,4,0,5,BLD|LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0031,Cal A 31,WingPass,adult,en,returning,555,3,56.67,Silver,5,60.0|0.0|0.0|70.0|50.0|75.0|85.0|0.0,45.0,Scout,86.67,49.0,0,0,38.75,Expanding,POSITIVE_STANDING,NOT_ELIGIBLE,55.2,NOT_ELIGIBLE,6,ACH-ACT-001|ACH-EVD-001|ACH-EVD-002|ACH-LRN-001|ACH-RET-001|ACH-TEAM-001,0,0,1,4,0,7,0,4,BLD|OPR|PRT,0,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0032,Cal A 32,MeritRoute,adult,en,integrity,610,4,65.0,Gold,7,50.0|60.0|85.0|0.0|75.0|50.0|70.0|50.0,45.0,Scout,83.33,49.0,0,0,38.75,Expanding,POSITIVE_STANDING,NOT_ELIGIBLE,57.7,NOT_ELIGIBLE,4,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001|ACH-TEAM-001,0,0,2,4,0,4,0,4,BLD|LED|PRT,0,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0033,Cal A 33,WingPass,adult,en,experienced,910,4,57.5,Silver,7,40.0|85.0|50.0|50.0|50.0|70.0|0.0|40.0,86.25,Specialist,100.0,100.0,1,2,30.5,Expanding,NORMAL,PROGRESS_VISIBLE,67.1,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-BRD-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-SEX-001,0,1,0,7,1,1,0,3,BLD|OPR,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0034,Cal A 34,OpenFlight,adult,en,steady,905,4,63.33,Gold,6,65.0|60.0|0.0|40.0|0.0|65.0|90.0|60.0,66.25,Specialist,81.67,81.67,1,1,39.5,Expanding,POSITIVE_STANDING,PROGRESS_VISIBLE,72.65,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-EVD-002|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,2,3,1,4,0,5,BLD|OPR,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0035,Cal A 35,FlightPass,adult,en,experienced,1145,5,73.33,Gold,7,40.0|50.0|85.0|60.0|85.0|85.0|0.0|75.0,86.25,Vanguard,100.0,100.0,1,2,65.0,Multi-Horizon,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,81.0,ELIGIBLE_ASCENDANT_NOMINATION,8,ACH-ACT-001|ACH-BRD-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-SEX-001|ACH-TEAM-001,0,1,1,7,1,4,0,7,BLD|LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0036,Cal A 36,MeritRoute,adult,en,steady,450,3,48.33,Silver,6,0.0|60.0|60.0|65.0|0.0|50.0|15.0|40.0,23.75,Fledgling,30.0,30.0,0,0,33.75,Expanding,POSITIVE_STANDING,NOT_ELIGIBLE,36.75,NOT_ELIGIBLE,4,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001|ACH-TEAM-001,0,0,3,0,0,3,0,3,BLD|LED|PRT,0,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0037,Cal A 37,MeritRoute,adult,en,paid_idle,0,1,0.0,Iron,0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0,0.0,Hatchling,0.0,0.0,0,0,0.0,Focused,UNESTABLISHED,NOT_ELIGIBLE,1.5,NOT_ELIGIBLE,0,,0,0,0,0,0,0,0,0,,0,0,"{'xp': '0_or_near', 'momentum': 'Iron', 'mastery': 'none', 'route_proven': 'no'}",,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0038,Cal A 38,OpenFlight,adult,en,team_strong,1150,5,56.67,Silver,8,60.0|10.0|10.0|65.0|60.0|20.0|75.0|60.0,62.5,Pathfinder,78.33,78.33,1,1,50.75,Multi-Horizon,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,74.9,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LIVE-001|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,6,2,1,4,0,6,LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0039,Cal A 39,FlightPass,adult,en,high_act_low_ev,910,4,58.33,Silver,8,40.0|50.0|60.0|60.0|50.0|60.0|50.0|70.0,18.75,Hatchling,0.0,0.0,0,0,80.0,Integrated,NORMAL,NOT_ELIGIBLE,28.25,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-LRN-001|ACH-TEAM-001,0,0,1,0,0,18,0,11,BLD|LED|OPR|PRT,0,1,"{'high_xp': 'yes', 'route_proven': 'no', 'title': 'no', 'prestige': 'no', 'mastery_strong': 'no'}",,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0040,Cal A 40,OpenFlight,adult,en,merit,1165,5,75.0,Platinum,8,40.0|85.0|85.0|75.0|85.0|20.0|70.0|50.0,63.75,Pathfinder,81.67,81.67,1,1,57.0,Multi-Horizon,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,73.65,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-EVD-002|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,1,5,1,6,0,6,BLD|LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0041,Cal A 41,Expedition,adult,en,steady,780,4,56.67,Silver,6,65.0|75.0|0.0|15.0|0.0|50.0|65.0|70.0,55.0,Pathfinder,80.0,80.0,1,1,43.75,Expanding,NORMAL,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,59.5,NOT_ELIGIBLE,6,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-EVD-002|ACH-LRN-001|ACH-MST-001,0,0,0,2,1,3,0,5,LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0042,Cal A 42,MeritRoute,adult,en,steady,925,4,67.5,Gold,7,65.0|50.0|60.0|65.0|0.0|75.0|65.0|75.0,63.75,Pathfinder,81.67,81.67,1,1,52.0,Multi-Horizon,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,72.65,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-EVD-002|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,1,5,1,4,0,5,BLD|LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0043,Cal A 43,OpenFlight,adult,en,low_act_high_ev,930,4,55.83,Silver,8,40.0|50.0|50.0|50.0|50.0|50.0|85.0|50.0,58.75,Pathfinder,100.0,100.0,1,1,27.5,Expanding,NORMAL,PROGRESS_VISIBLE,66.25,NOT_ELIGIBLE,5,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001,0,0,0,8,1,1,0,3,BLD|OPR,1,1,"{'route_proven': 'possible', 'mastery_strong': 'possible', 'not_punished_for_efficiency': 'yes'}",,PASS,A,20260721,0.2.0,0.2.0,0.1.1
CAL-20260721-A-0044,Cal A 44,OpenFlight,adult,en,paid_idle,0,1,0.0,Iron,0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0,0.0,Hatchling,0.0,0.0,0,0,0.0,Focused,UNESTABLISHED,NOT_ELIGIBLE,1.5,NOT_ELIGIBLE,0,,0,0,0,0,0,0,0,0,,0,0,"{'xp': '0_or_near', 'momentum': 'Iron', 'mastery': 'none', 'route_proven': 'no'}",,PASS,A,20260721,0.2.0,0.2.0,0.1.1
