event_id,persona_id,week,event_type,plan,intensity,kind,route,duplicate,note,contribution
PER-005-W03-E0007,PER-005,3,TEAM_CONTRIBUTION_APPROVED,WingPass,,,,,,
PER-005-W04-E0008,PER-005,4,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-005-W04-E0009,PER-005,4,TEAM_CONTRIBUTION_APPROVED,WingPass,,,,,,
PER-005-W05-E0010,PER-005,5,CAPSTONE_APPROVED,WingPass,,,,,,
PER-005-W05-E0011,PER-005,5,ROUTE_PROVEN_GRANTED,WingPass,,,RT-OPR-001,,,
PER-005-W06-E0012,PER-005,6,MISSION_COMPLETED,WingPass,STANDARD,,,,,
PER-005-W06-E0013,PER-005,6,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-005-W07-E0014,PER-005,7,MISSION_COMPLETED,WingPass,EXTENDED,,,,,
PER-005-W07-E0015,PER-005,7,STAGE_COMPLETED,WingPass,,,,,,
PER-005-W07-E0016,PER-005,7,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-005-W07-E0017,PER-005,7,TEAM_CONTRIBUTION_APPROVED,WingPass,,,,,,
PER-006-W01-E0001,PER-006,1,COMMERCIAL_ENTITLEMENT_ACTIVE,Expedition,,,,,no progression effect,
PER-007-W00-E0001,PER-007,0,EVIDENCE_APPROVED,MeritRoute,,FORMATIVE,,,,
PER-007-W00-E0002,PER-007,0,TEAM_CONTRIBUTION_APPROVED,MeritRoute,,,,,,
PER-007-W01-E0003,PER-007,1,MISSION_COMPLETED,MeritRoute,LIGHT,,,,,
PER-007-W01-E0004,PER-007,1,TEAM_CONTRIBUTION_APPROVED,MeritRoute,,,,,,
PER-007-W02-E0005,PER-007,2,MISSION_COMPLETED,MeritRoute,EXTENDED,,,,,
PER-007-W02-E0006,PER-007,2,STAGE_COMPLETED,MeritRoute,,,,,,
PER-007-W02-E0007,PER-007,2,EVIDENCE_APPROVED,MeritRoute,,PRACTICAL,,,,
PER-007-W03-E0008,PER-007,3,MISSION_COMPLETED,MeritRoute,DEEP,,,,,
PER-007-W03-E0009,PER-007,3,STAGE_COMPLETED,MeritRoute,,,,,,
PER-007-W04-E0010,PER-007,4,MISSION_COMPLETED,MeritRoute,STANDARD,,,,,
PER-007-W04-E0011,PER-007,4,TEAM_CONTRIBUTION_APPROVED,MeritRoute,,,,,,
PER-007-W05-E0012,PER-007,5,EVIDENCE_APPROVED,MeritRoute,,PRACTICAL,,,,
PER-007-W05-E0013,PER-007,5,CAPSTONE_APPROVED,MeritRoute,,,,,,
PER-007-W05-E0014,PER-007,5,ROUTE_PROVEN_GRANTED,MeritRoute,,,RT-OPR-001,,,
PER-007-W06-E0015,PER-007,6,MISSION_COMPLETED,MeritRoute,EXTENDED,,,,,
PER-007-W06-E0016,PER-007,6,STAGE_COMPLETED,MeritRoute,,,,,,
PER-007-W07-E0017,PER-007,7,MISSION_COMPLETED,MeritRoute,EXTENDED,,,,,
PER-007-W07-E0018,PER-007,7,STAGE_COMPLETED,MeritRoute,,,,,,
PER-007-W07-E0019,PER-007,7,EVIDENCE_APPROVED,MeritRoute,,FORMATIVE,,,,
PER-008-W00-E0001,PER-008,0,EVIDENCE_APPROVED,OpenFlight,,PRACTICAL,,,,
PER-008-W00-E0002,PER-008,0,TEAM_CONTRIBUTION_APPROVED,OpenFlight,,,,,,
PER-008-W03-E0003,PER-008,3,MISSION_COMPLETED,OpenFlight,STANDARD,,,,,
PER-008-W03-E0004,PER-008,3,STAGE_COMPLETED,OpenFlight,,,,,,
PER-008-W03-E0005,PER-008,3,MISSION_REMEDIATION_COMPLETED,OpenFlight,,,,,,
PER-008-W03-E0006,PER-008,3,REFLECTION_APPROVED,OpenFlight,,,,,,
PER-008-W04-E0007,PER-008,4,MISSION_COMPLETED,OpenFlight,STANDARD,,,,,
PER-008-W04-E0008,PER-008,4,STAGE_COMPLETED,OpenFlight,,,,,,
PER-008-W04-E0009,PER-008,4,EVIDENCE_APPROVED,OpenFlight,,PRACTICAL,,,,
PER-008-W05-E0010,PER-008,5,MISSION_COMPLETED,OpenFlight,DEEP,,,,,
PER-008-W05-E0011,PER-008,5,STAGE_COMPLETED,OpenFlight,,,,,,
PER-008-W05-E0012,PER-008,5,TEAM_CONTRIBUTION_APPROVED,OpenFlight,,,,,,
PER-008-W06-E0013,PER-008,6,MISSION_COMPLETED,OpenFlight,DEEP,,,,,
PER-008-W06-E0014,PER-008,6,STAGE_COMPLETED,OpenFlight,,,,,,
PER-008-W06-E0015,PER-008,6,EVIDENCE_APPROVED,OpenFlight,,FORMATIVE,,,,
PER-008-W07-E0016,PER-008,7,MISSION_COMPLETED,OpenFlight,STANDARD,,,,,
PER-008-W07-E0017,PER-008,7,EVIDENCE_APPROVED,OpenFlight,,PRACTICAL,,,,
PER-009-W00-E0001,PER-009,0,MISSION_COMPLETED,OpenFlight,EXTENDED,,,,,
PER-009-W00-E0002,PER-009,0,EVIDENCE_APPROVED,OpenFlight,,PRACTICAL,,,,
PER-009-W02-E0003,PER-009,2,MISSION_COMPLETED,OpenFlight,STANDARD,,,,,
PER-009-W03-E0004,PER-009,3,MISSION_COMPLETED,OpenFlight,LIGHT,,,,,
PER-009-W04-E0005,PER-009,4,MISSION_COMPLETED,OpenFlight,STANDARD,,,,,
PER-009-W04-E0006,PER-009,4,STAGE_COMPLETED,OpenFlight,,,,,,
PER-009-W04-E0007,PER-009,4,EVIDENCE_APPROVED,OpenFlight,,PRACTICAL,,,,
PER-009-W05-E0008,PER-009,5,MISSION_COMPLETED,OpenFlight,DEEP,,,,,
PER-009-W05-E0009,PER-009,5,EVIDENCE_APPROVED,OpenFlight,,PRACTICAL,,,,
PER-009-W06-E0010,PER-009,6,MISSION_COMPLETED,OpenFlight,LIGHT,,,,,
PER-009-W06-E0011,PER-009,6,EVIDENCE_APPROVED,OpenFlight,,FORMATIVE,,,,
PER-009-W07-E0012,PER-009,7,MISSION_COMPLETED,OpenFlight,EXTENDED,,,,,
PER-009-W07-E0013,PER-009,7,STAGE_COMPLETED,OpenFlight,,,,,,
PER-010-W00-E0001,PER-010,0,MISSION_COMPLETED,FlightPass,STANDARD,,,,,
PER-010-W00-E0002,PER-010,0,STAGE_COMPLETED,FlightPass,,,,,,
PER-010-W00-E0003,PER-010,0,EVIDENCE_APPROVED,FlightPass,,FORMATIVE,,,,
PER-010-W01-E0004,PER-010,1,EVIDENCE_APPROVED,FlightPass,,PRACTICAL,,,,
PER-010-W03-E0005,PER-010,3,EVIDENCE_APPROVED,FlightPass,,PRACTICAL,,,,
PER-010-W06-E0006,PER-010,6,EVIDENCE_APPROVED,FlightPass,,PRACTICAL,,,,
PER-010-W07-E0007,PER-010,7,MISSION_COMPLETED,FlightPass,STANDARD,,,,,
PER-010-W07-E0008,PER-010,7,STAGE_COMPLETED,FlightPass,,,,,,
PER-011-W00-E0001,PER-011,0,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-011-W01-E0002,PER-011,1,EVIDENCE_APPROVED,WingPass,,FORMATIVE,,,,
PER-011-W01-E0003,PER-011,1,LIVE_FLIGHT_COMPLETED,WingPass,,,,,,none
PER-011-W02-E0004,PER-011,2,MISSION_COMPLETED,WingPass,DEEP,,,,,
PER-011-W02-E0005,PER-011,2,LIVE_FLIGHT_COMPLETED,WingPass,,,,,,none
PER-011-W03-E0006,PER-011,3,LIVE_FLIGHT_COMPLETED,WingPass,,,,,,none
PER-011-W04-E0007,PER-011,4,LIVE_FLIGHT_COMPLETED,WingPass,,,,,,none
PER-011-W05-E0008,PER-011,5,MISSION_COMPLETED,WingPass,EXTENDED,,,,,
PER-011-W05-E0009,PER-011,5,STAGE_COMPLETED,WingPass,,,,,,
PER-011-W05-E0010,PER-011,5,LIVE_FLIGHT_COMPLETED,WingPass,,,,,,none
PER-011-W06-E0011,PER-011,6,LIVE_FLIGHT_COMPLETED,WingPass,,,,,,none
PER-011-W07-E0012,PER-011,7,MISSION_COMPLETED,WingPass,DEEP,,,,,
PER-011-W07-E0013,PER-011,7,LIVE_FLIGHT_COMPLETED,WingPass,,,,,,none
PER-012-W00-E0001,PER-012,0,MISSION_COMPLETED,WingPass,STANDARD,,,,,
PER-012-W00-E0002,PER-012,0,STAGE_COMPLETED,WingPass,,,,,,
PER-012-W00-E0003,PER-012,0,TEAM_CONTRIBUTION_APPROVED,WingPass,,,,,,
PER-012-W01-E0004,PER-012,1,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-012-W01-E0005,PER-012,1,TEAM_CONTRIBUTION_APPROVED,WingPass,,,,,,
PER-012-W01-E0006,PER-012,1,LIVE_RESULT_FINALIZED,WingPass,,,,,,
PER-012-W02-E0007,PER-012,2,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-012-W02-E0008,PER-012,2,TEAM_CONTRIBUTION_APPROVED,WingPass,,,,,,
PER-012-W02-E0009,PER-012,2,LIVE_RESULT_FINALIZED,WingPass,,,,,,
PER-012-W03-E0010,PER-012,3,MISSION_COMPLETED,WingPass,DEEP,,,,,
PER-012-W03-E0011,PER-012,3,TEAM_CONTRIBUTION_APPROVED,WingPass,,,,,,
PER-012-W03-E0012,PER-012,3,LIVE_RESULT_FINALIZED,WingPass,,,,,,
PER-012-W04-E0013,PER-012,4,TEAM_CONTRIBUTION_APPROVED,WingPass,,,,,,
PER-012-W04-E0014,PER-012,4,LIVE_RESULT_FINALIZED,WingPass,,,,,,
PER-012-W05-E0015,PER-012,5,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-012-W05-E0016,PER-012,5,CAPSTONE_APPROVED,WingPass,,,,,,
PER-012-W05-E0017,PER-012,5,ROUTE_PROVEN_GRANTED,WingPass,,,RT-OPR-001,,,
PER-012-W05-E0018,PER-012,5,TEAM_CONTRIBUTION_APPROVED,WingPass,,,,,,
PER-012-W06-E0019,PER-012,6,TEAM_CONTRIBUTION_APPROVED,WingPass,,,,,,
PER-012-W06-E0020,PER-012,6,LIVE_RESULT_FINALIZED,WingPass,,,,,,
PER-012-W07-E0021,PER-012,7,MISSION_COMPLETED,WingPass,LIGHT,,,,,
PER-012-W07-E0022,PER-012,7,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-012-W07-E0023,PER-012,7,TEAM_CONTRIBUTION_APPROVED,WingPass,,,,,,
PER-013-W00-E0001,PER-013,0,MISSION_COMPLETED,OpenFlight,LIGHT,,,,,
PER-013-W00-E0002,PER-013,0,STAGE_COMPLETED,OpenFlight,,,,,,
PER-013-W01-E0003,PER-013,1,EVIDENCE_APPROVED,OpenFlight,,PRACTICAL,,,,
PER-013-W02-E0004,PER-013,2,MISSION_COMPLETED,OpenFlight,DEEP,,,,,
PER-013-W02-E0005,PER-013,2,STAGE_COMPLETED,OpenFlight,,,,,,
PER-013-W02-E0006,PER-013,2,EVIDENCE_APPROVED,OpenFlight,,FORMATIVE,,,,
PER-013-W03-E0007,PER-013,3,MISSION_COMPLETED,OpenFlight,STANDARD,,,,,
PER-013-W04-E0008,PER-013,4,MISSION_COMPLETED,OpenFlight,DEEP,,,,,
PER-013-W04-E0009,PER-013,4,EVIDENCE_APPROVED,OpenFlight,,PRACTICAL,,,,
PER-013-W05-E0010,PER-013,5,EVIDENCE_APPROVED,OpenFlight,,PRACTICAL,,,,
PER-013-W05-E0011,PER-013,5,EVIDENCE_REVOKED,OpenFlight,,,,,,
PER-013-W05-E0012,PER-013,5,ASSESSMENT_INTEGRITY_REVIEWED,OpenFlight,,,,,,
PER-013-W06-E0013,PER-013,6,MISSION_COMPLETED,OpenFlight,LIGHT,,,,,
PER-013-W07-E0014,PER-013,7,EVIDENCE_RESTORED,OpenFlight,,,,,,
PER-013-W07-E0015,PER-013,7,EVIDENCE_APPEAL_RESOLVED,OpenFlight,,,,,,
PER-014-W00-E0001,PER-014,0,MISSION_COMPLETED,FlightPass,LIGHT,,,,,
PER-014-W00-E0002,PER-014,0,EVIDENCE_APPROVED,FlightPass,,PRACTICAL,,,,
PER-014-W00-E0003,PER-014,0,COMMUNITY_REACTION_BURST,FlightPass,,,,,no technical XP/Mastery,
PER-014-W01-E0004,PER-014,1,MISSION_COMPLETED,FlightPass,EXTENDED,,,,,
PER-014-W02-E0005,PER-014,2,MISSION_COMPLETED,FlightPass,LIGHT,,,,,
PER-014-W02-E0006,PER-014,2,COMMUNITY_REACTION_BURST,FlightPass,,,,,no technical XP/Mastery,
PER-014-W04-E0007,PER-014,4,TEAM_CONTRIBUTION_APPROVED,FlightPass,,,,,,
PER-014-W04-E0008,PER-014,4,COMMUNITY_REACTION_BURST,FlightPass,,,,,no technical XP/Mastery,
PER-014-W06-E0009,PER-014,6,MISSION_COMPLETED,FlightPass,EXTENDED,,,,,
PER-014-W06-E0010,PER-014,6,COMMUNITY_REACTION_BURST,FlightPass,,,,,no technical XP/Mastery,
PER-014-W07-E0011,PER-014,7,MISSION_COMPLETED,FlightPass,DEEP,,,,,
PER-015-W00-E0001,PER-015,0,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-015-W00-E0002,PER-015,0,TEAM_CONTRIBUTION_APPROVED,WingPass,,,,,,
PER-015-W01-E0003,PER-015,1,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-015-W01-E0004,PER-015,1,LIVE_RESULT_FINALIZED,WingPass,,,,,,
PER-015-W02-E0005,PER-015,2,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-015-W03-E0006,PER-015,3,MISSION_COMPLETED,WingPass,EXTENDED,,,,,
PER-015-W03-E0007,PER-015,3,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-015-W03-E0008,PER-015,3,TEAM_CONTRIBUTION_APPROVED,WingPass,,,,,,
PER-015-W04-E0009,PER-015,4,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-015-W04-E0010,PER-015,4,TEAM_CONTRIBUTION_APPROVED,WingPass,,,,,,
PER-015-W05-E0011,PER-015,5,TEAM_CONTRIBUTION_APPROVED,WingPass,,,,,,
PER-015-W06-E0012,PER-015,6,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-015-W06-E0013,PER-015,6,CAPSTONE_APPROVED,WingPass,,,,,,
PER-015-W06-E0014,PER-015,6,ROUTE_PROVEN_GRANTED,WingPass,,,RT-OPR-001,,,
PER-015-W06-E0015,PER-015,6,ROUTE_PROVEN_GRANTED,WingPass,,,RT-BLD-001,,,
PER-015-W06-E0016,PER-015,6,LIVE_RESULT_FINALIZED,WingPass,,,,,,
PER-015-W07-E0017,PER-015,7,MISSION_COMPLETED,WingPass,EXTENDED,,,,,
PER-015-W07-E0018,PER-015,7,EVIDENCE_APPROVED,WingPass,,PRACTICAL,,,,
PER-015-W07-E0019,PER-015,7,ROUTE_PROVEN_GRANTED,WingPass,,,CXW-001,,,
PER-015-W07-E0020,PER-015,7,CAPSTONE_APPROVED,WingPass,,,SEX-001,,,
PER-015-W07-E0021,PER-015,7,TEAM_CONTRIBUTION_APPROVED,WingPass,,,,,,
PER-015-W07-E0022,PER-015,7,LIVE_RESULT_FINALIZED,WingPass,,,,,,
