persona_id,name,plan,age,lang,profile,xp,flight_level,momentum_score,momentum_league,active_weeks,weekly_scores,maturity_index,maturity_rank,cmi,rmi,route_proven,route_proven_count,breadth_index,breadth_descriptor,trust_state,title_eligibility,prestige_pei,prestige_nomination,achievements,achievement_ids,cxw,sex,team_contrib,practical,capstone,missions,integrity_hold,clusters,horizons,ldb_mastery_eligible,ldb_momentum_eligible,expected,issues,result
SYN-0010,Synthetic 10,FlightPass,adult,en,team_passenger,265,2,30.0,Iron,3,0.0|0.0|65.0|0.0|40.0|75.0|0.0|0.0,37.5,Scout,95.0,49.0,0,0,22.5,Focused,NORMAL,NOT_ELIGIBLE,39.45,NOT_ELIGIBLE,2,ACH-ACT-001|ACH-EVD-001,0,0,0,3,0,2,0,2,LED|OPR,0,0,{'full_mastery_from_team': 'no'},,PASS
SYN-0011,Synthetic 11,WingPass,adult,ar,team_strong,1230,5,70.0,Gold,8,50.0|85.0|60.0|60.0|50.0|80.0|85.0|20.0,66.25,Specialist,83.33,83.33,1,1,29.5,Expanding,POSITIVE_STANDING,PROGRESS_VISIBLE,76.15,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LIVE-001|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,5,4,1,3,0,3,OPR|PRT,1,1,{'baseline': 'ok'},,PASS
SYN-0012,Synthetic 12,FlightPass,adult,en,integrity,475,3,60.0,Gold,8,40.0|50.0|50.0|75.0|60.0|75.0|50.0|10.0,45.0,Scout,86.67,49.0,0,0,27.5,Expanding,POSITIVE_STANDING,NOT_ELIGIBLE,49.95,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-EVD-001|ACH-TEAM-001,0,0,2,3,0,4,0,3,BLD|OPR,0,1,{'baseline': 'ok'},,PASS
SYN-0013,Synthetic 13,OpenFlight,adult,en,popular_weak,425,3,57.5,Silver,6,0.0|0.0|40.0|60.0|85.0|50.0|50.0|60.0,37.5,Scout,76.67,49.0,0,0,45.0,Expanding,NORMAL,NOT_ELIGIBLE,39.2,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001,0,0,0,2,0,4,0,4,BLD|LED|OPR|PRT,0,1,"{'mastery_from_popularity': 'no', 'prestige_from_popularity': 'no'}",,PASS
SYN-0014,Synthetic 14,WingPass,adult,en,steady,980,4,65.83,Gold,6,75.0|50.0|0.0|70.0|0.0|75.0|50.0|75.0,63.75,Pathfinder,86.0,86.0,1,1,45.75,Expanding,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,72.7,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-EVD-002|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,1,6,1,4,0,5,BLD|LED|OPR,1,1,{'baseline': 'ok'},,PASS
SYN-0015,Synthetic 15,WingPass,adult,en,new,430,3,65.83,Gold,7,40.0|0.0|65.0|60.0|75.0|75.0|60.0|60.0,40.0,Scout,80.0,49.0,0,0,48.75,Expanding,NORMAL,NOT_ELIGIBLE,39.95,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001,0,0,0,2,0,6,0,6,BLD|LED|OPR,0,1,{'baseline': 'ok'},,PASS
SYN-0016,Synthetic 16,MeritRoute,adult,ar,steady,445,3,43.33,Bronze,5,65.0|0.0|0.0|60.0|0.0|10.0|65.0|60.0,17.5,Hatchling,15.0,15.0,0,0,38.75,Expanding,POSITIVE_STANDING,NOT_ELIGIBLE,30.25,NOT_ELIGIBLE,4,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001|ACH-TEAM-001,0,0,3,0,0,4,0,4,BLD|OPR|PRT,0,1,{'baseline': 'ok'},,PASS
SYN-0017,Synthetic 17,WingPass,adult,en,high_act_low_ev,530,3,43.33,Bronze,5,40.0|0.0|0.0|0.0|50.0|60.0|50.0|60.0,12.5,Hatchling,0.0,0.0,0,0,65.0,Multi-Horizon,NORMAL,NOT_ELIGIBLE,21.5,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-LRN-001|ACH-TEAM-001,0,0,1,0,0,12,0,8,BLD|LED|OPR|PRT,0,1,"{'high_xp': 'yes', 'route_proven': 'no', 'title': 'no', 'prestige': 'no', 'mastery_strong': 'no'}",,PASS
SYN-0018,Synthetic 18,MeritRoute,adult,en,low_act_high_ev,920,4,55.0,Silver,8,40.0|50.0|60.0|50.0|50.0|70.0|50.0|50.0,61.25,Pathfinder,100.0,100.0,1,1,18.25,Focused,POSITIVE_STANDING,PROGRESS_VISIBLE,71.4,NOT_ELIGIBLE,4,ACH-CAP-001|ACH-EVD-001|ACH-MST-001|ACH-TEAM-001,0,0,1,8,1,0,0,2,OPR,1,1,"{'route_proven': 'possible', 'mastery_strong': 'possible', 'not_punished_for_efficiency': 'yes'}",,PASS
SYN-0019,Synthetic 19,FlightPass,adult,en,experienced,980,4,66.67,Gold,8,75.0|50.0|10.0|40.0|75.0|75.0|50.0|75.0,86.25,Vanguard,100.0,100.0,1,2,48.75,Expanding,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,77.75,ELIGIBLE_ASCENDANT_NOMINATION,8,ACH-ACT-001|ACH-BRD-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-SEX-001|ACH-TEAM-001,0,1,1,6,1,4,0,5,BLD|LED|OPR,1,1,{'baseline': 'ok'},,PASS
SYN-0020,Synthetic 20,MeritRoute,adult,en,new,365,3,40.83,Bronze,6,0.0|0.0|60.0|50.0|10.0|65.0|10.0|50.0,30.0,Hatchling,66.67,49.0,0,0,22.5,Focused,POSITIVE_STANDING,NOT_ELIGIBLE,41.95,NOT_ELIGIBLE,4,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001|ACH-TEAM-001,0,0,3,1,0,3,0,2,LED|OPR,0,1,{'baseline': 'ok'},,PASS
SYN-0021,Synthetic 21,OpenFlight,adult,en,merit,975,4,61.67,Gold,8,40.0|50.0|50.0|60.0|75.0|85.0|50.0|50.0,63.75,Pathfinder,81.67,81.67,1,1,45.75,Expanding,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,71.4,NOT_ELIGIBLE,6,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,1,6,1,3,0,5,BLD|OPR|PRT,1,1,{'baseline': 'ok'},,PASS
SYN-0022,Synthetic 22,Expedition,adult,en,returning,195,2,24.17,Iron,3,50.0|0.0|0.0|55.0|0.0|0.0|0.0|40.0,37.5,Scout,83.33,49.0,0,0,22.5,Focused,POSITIVE_STANDING,NOT_ELIGIBLE,43.95,NOT_ELIGIBLE,4,ACH-ACT-001|ACH-EVD-001|ACH-EVD-002|ACH-RET-001,0,0,0,3,0,4,0,2,BLD|OPR,0,0,{'baseline': 'ok'},,PASS
SYN-0023,Synthetic 23,OpenFlight,minor,ar,minor_ar,425,3,61.67,Gold,6,40.0|60.0|0.0|75.0|85.0|50.0|60.0|0.0,40.0,Scout,76.67,49.0,0,0,38.75,Expanding,NORMAL,NOT_ELIGIBLE,37.95,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001,0,0,0,2,0,5,0,4,BLD|LED|PRT,0,1,{'baseline': 'ok'},,PASS
SYN-0024,Synthetic 24,MeritRoute,adult,ar,a11y_compressed,460,3,55.83,Silver,6,40.0|60.0|0.0|75.0|75.0|0.0|10.0|75.0,45.0,Scout,80.0,49.0,0,0,38.75,Expanding,POSITIVE_STANDING,NOT_ELIGIBLE,47.45,NOT_ELIGIBLE,4,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001|ACH-TEAM-001,0,0,2,2,0,4,0,4,BLD|OPR|PRT,0,1,{'baseline': 'ok'},,PASS
SYN-0025,Synthetic 25,WingPass,adult,ar,team_passenger,70,1,13.33,Iron,2,0.0|0.0|40.0|0.0|0.0|0.0|40.0|0.0,22.5,Hatchling,70.0,49.0,0,0,5.0,Focused,NORMAL,NOT_ELIGIBLE,26.45,NOT_ELIGIBLE,2,ACH-ACT-001|ACH-EVD-001,0,0,0,1,0,1,0,1,OPR,0,0,{'full_mastery_from_team': 'no'},,PASS
SYN-0026,Synthetic 26,OpenFlight,adult,ar,team_strong,1490,5,77.5,Platinum,8,50.0|85.0|75.0|60.0|75.0|85.0|70.0|75.0,66.25,Specialist,83.33,83.33,1,1,57.0,Multi-Horizon,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,81.65,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LIVE-001|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,6,5,1,6,0,6,BLD|LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS
SYN-0027,Synthetic 27,MeritRoute,adult,en,integrity,360,3,56.67,Silver,6,40.0|60.0|75.0|50.0|50.0|0.0|65.0|0.0,37.5,Scout,83.33,49.0,0,0,38.75,Expanding,NORMAL,NOT_ELIGIBLE,42.7,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001,0,0,0,3,0,4,0,4,LED|OPR|PRT,0,1,{'baseline': 'ok'},,PASS
SYN-0028,Synthetic 28,OpenFlight,adult,ar,popular_weak,190,2,27.5,Iron,4,65.0|50.0|0.0|0.0|40.0|10.0|0.0|0.0,42.5,Scout,85.0,49.0,0,0,22.5,Focused,POSITIVE_STANDING,NOT_ELIGIBLE,41.7,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-EVD-001|ACH-TEAM-001,0,0,1,2,0,2,0,2,BLD|PRT,0,1,"{'mastery_from_popularity': 'no', 'prestige_from_popularity': 'no'}",,PASS
SYN-0029,Synthetic 29,OpenFlight,adult,ar,steady,965,4,73.33,Gold,7,65.0|75.0|85.0|75.0|0.0|60.0|80.0|50.0,58.75,Pathfinder,86.0,86.0,1,1,53.75,Multi-Horizon,NORMAL,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,67.3,NOT_ELIGIBLE,6,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-EVD-002|ACH-LRN-001|ACH-MST-001,0,0,0,5,1,6,0,7,LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS
SYN-0030,Synthetic 30,Expedition,adult,en,new,340,3,44.17,Bronze,5,0.0|0.0|40.0|50.0|0.0|40.0|85.0|50.0,37.5,Scout,76.67,49.0,0,0,27.5,Expanding,NORMAL,NOT_ELIGIBLE,35.7,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001,0,0,0,2,0,3,0,3,LED|OPR,0,1,{'baseline': 'ok'},,PASS
SYN-0031,Synthetic 31,MeritRoute,adult,en,steady,915,4,57.5,Silver,6,0.0|75.0|85.0|15.0|0.0|20.0|65.0|85.0,66.25,Specialist,81.67,81.67,1,1,29.5,Expanding,POSITIVE_STANDING,PROGRESS_VISIBLE,70.65,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-EVD-002|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,2,3,1,4,0,3,LED|OPR,1,1,{'baseline': 'ok'},,PASS
SYN-0032,Synthetic 32,FlightPass,adult,ar,high_act_low_ev,570,3,53.33,Silver,6,60.0|50.0|0.0|50.0|50.0|50.0|60.0|0.0,12.5,Hatchling,0.0,0.0,0,0,70.0,Integrated,NORMAL,NOT_ELIGIBLE,22.5,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-LRN-001|ACH-TEAM-001,0,0,1,0,0,14,0,9,BLD|LED|OPR|PRT,0,1,"{'high_xp': 'yes', 'route_proven': 'no', 'title': 'no', 'prestige': 'no', 'mastery_strong': 'no'}",,PASS
SYN-0033,Synthetic 33,WingPass,adult,en,low_act_high_ev,970,4,57.5,Silver,8,65.0|60.0|50.0|50.0|50.0|70.0|50.0|50.0,63.75,Pathfinder,100.0,100.0,1,1,29.5,Expanding,POSITIVE_STANDING,PROGRESS_VISIBLE,73.65,NOT_ELIGIBLE,5,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-MST-001|ACH-TEAM-001,0,0,1,8,1,1,0,3,BLD|OPR,1,1,"{'route_proven': 'possible', 'mastery_strong': 'possible', 'not_punished_for_efficiency': 'yes'}",,PASS
SYN-0034,Synthetic 34,OpenFlight,adult,en,experienced,1200,5,80.0,Platinum,8,75.0|75.0|50.0|50.0|75.0|85.0|85.0|85.0,86.25,Specialist,100.0,100.0,1,2,63.0,Multi-Horizon,NORMAL,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,73.6,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-BRD-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-SEX-001,0,1,0,8,1,6,0,7,BLD|LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS
SYN-0035,Synthetic 35,MeritRoute,adult,en,new,350,3,39.17,Bronze,4,75.0|0.0|0.0|60.0|60.0|0.0|40.0|0.0,27.5,Hatchling,70.0,49.0,0,0,38.75,Expanding,NORMAL,NOT_ELIGIBLE,35.7,NOT_ELIGIBLE,4,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001|ACH-TEAM-001,0,0,1,1,0,4,0,4,BLD|LED|OPR,0,1,{'baseline': 'ok'},,PASS
SYN-0036,Synthetic 36,Expedition,adult,en,merit,1160,5,79.17,Platinum,7,75.0|75.0|85.0|90.0|50.0|85.0|0.0|65.0,58.75,Pathfinder,83.33,83.33,1,1,55.0,Multi-Horizon,NORMAL,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,66.75,NOT_ELIGIBLE,6,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-EVD-002|ACH-LRN-001|ACH-MST-001,0,0,0,5,1,6,0,6,BLD|LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS
SYN-0037,Synthetic 37,OpenFlight,adult,en,returning,380,3,41.67,Bronze,5,10.0|0.0|0.0|55.0|50.0|60.0|75.0|0.0,45.0,Scout,86.67,49.0,0,0,22.5,Focused,POSITIVE_STANDING,NOT_ELIGIBLE,48.95,NOT_ELIGIBLE,6,ACH-ACT-001|ACH-EVD-001|ACH-EVD-002|ACH-LRN-001|ACH-RET-001|ACH-TEAM-001,0,0,2,3,0,4,0,2,BLD|OPR,0,1,{'baseline': 'ok'},,PASS
SYN-0038,Synthetic 38,Expedition,minor,ar,minor_ar,250,2,50.0,Silver,7,0.0|40.0|50.0|50.0|50.0|50.0|50.0|50.0,37.5,Scout,80.0,49.0,0,0,33.75,Expanding,NORMAL,NOT_ELIGIBLE,36.95,NOT_ELIGIBLE,2,ACH-ACT-001|ACH-EVD-001,0,0,0,2,0,3,0,3,BLD|OPR|PRT,0,1,{'baseline': 'ok'},,PASS
SYN-0039,Synthetic 39,OpenFlight,adult,ar,a11y_compressed,450,3,60.83,Gold,6,65.0|85.0|0.0|40.0|85.0|0.0|40.0|50.0,42.5,Scout,90.0,49.0,0,0,21.25,Focused,POSITIVE_STANDING,NOT_ELIGIBLE,46.2,NOT_ELIGIBLE,4,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001|ACH-TEAM-001,0,0,1,3,0,3,0,3,OPR,0,1,{'baseline': 'ok'},,PASS
SYN-0040,Synthetic 40,FlightPass,adult,en,team_passenger,210,2,41.67,Bronze,5,0.0|0.0|40.0|60.0|0.0|50.0|50.0|50.0,5.0,Hatchling,15.0,15.0,0,0,38.75,Expanding,NORMAL,NOT_ELIGIBLE,18.25,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001,0,0,0,0,0,4,0,4,LED|OPR|PRT,0,1,{'full_mastery_from_team': 'no'},,PASS
SYN-0041,Synthetic 41,Expedition,adult,en,team_strong,1500,6,77.5,Platinum,8,50.0|60.0|75.0|60.0|85.0|85.0|75.0|85.0,66.25,Specialist,83.33,83.33,1,1,62.0,Multi-Horizon,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,82.65,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LIVE-001|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,8,5,1,5,0,7,BLD|LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS
SYN-0042,Synthetic 42,OpenFlight,adult,en,integrity,530,3,68.33,Gold,8,65.0|75.0|85.0|50.0|85.0|50.0|50.0|50.0,45.0,Scout,86.67,49.0,0,0,43.75,Expanding,POSITIVE_STANDING,NOT_ELIGIBLE,55.45,NOT_ELIGIBLE,4,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001|ACH-TEAM-001,0,0,1,4,0,6,0,5,LED|OPR|PRT,0,1,{'baseline': 'ok'},,PASS
SYN-0043,Synthetic 43,OpenFlight,adult,en,popular_weak,260,2,44.17,Bronze,6,40.0|50.0|0.0|10.0|0.0|40.0|75.0|50.0,30.0,Hatchling,70.0,49.0,0,0,50.0,Multi-Horizon,NORMAL,NOT_ELIGIBLE,37.95,NOT_ELIGIBLE,3,ACH-ACT-001|ACH-EVD-001|ACH-TEAM-001,0,0,1,1,0,5,0,5,BLD|LED|OPR|PRT,0,1,"{'mastery_from_popularity': 'no', 'prestige_from_popularity': 'no'}",,PASS
SYN-0044,Synthetic 44,Expedition,adult,en,prestige,1265,5,76.67,Platinum,8,65.0|85.0|60.0|75.0|75.0|75.0|50.0|85.0,87.5,Vanguard,100.0,100.0,1,2,80.0,Integrated,ELEVATED_RESPONSIBILITY_ELIGIBLE,INTEGRATED_TEMPLATE_ELIGIBLE_FOR_REVIEW,94.75,ELIGIBLE_ASCENDANT_NOMINATION,10,ACH-ACT-001|ACH-BRD-001|ACH-CAP-001|ACH-CXW-001|ACH-EVD-001|ACH-LIVE-001|ACH-LRN-001|ACH-MST-001|ACH-SEX-001|ACH-TEAM-001,1,1,1,8,1,6,0,8,BLD|LED|OPR|PRT,1,1,"{'prestige_auto_grant': 'no', 'nomination_possible': 'yes'}",,PASS
SYN-0045,Synthetic 45,WingPass,adult,en,new,290,2,40.0,Bronze,5,0.0|65.0|0.0|60.0|10.0|65.0|0.0|40.0,12.5,Hatchling,30.0,30.0,0,0,27.5,Expanding,POSITIVE_STANDING,NOT_ELIGIBLE,30.0,NOT_ELIGIBLE,4,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001|ACH-TEAM-001,0,0,2,0,0,4,0,3,OPR|PRT,0,1,{'baseline': 'ok'},,PASS
SYN-0046,Synthetic 46,Expedition,adult,en,steady,900,4,65.0,Gold,6,75.0|60.0|50.0|60.0|0.0|0.0|65.0|80.0,62.5,Pathfinder,75.0,75.0,1,1,45.75,Expanding,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,62.4,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-EVD-002|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,2,1,1,4,0,5,BLD|LED|OPR,1,1,{'baseline': 'ok'},,PASS
SYN-0047,Synthetic 47,OpenFlight,adult,en,high_act_low_ev,610,4,51.67,Silver,7,40.0|60.0|50.0|0.0|40.0|60.0|50.0|50.0,7.5,Hatchling,0.0,0.0,0,0,70.0,Integrated,NORMAL,NOT_ELIGIBLE,20.0,NOT_ELIGIBLE,2,ACH-ACT-001|ACH-LRN-001,0,0,0,0,0,16,0,9,BLD|LED|OPR|PRT,0,1,"{'high_xp': 'yes', 'route_proven': 'no', 'title': 'no', 'prestige': 'no', 'mastery_strong': 'no'}",,PASS
SYN-0048,Synthetic 48,MeritRoute,adult,ar,low_act_high_ev,910,4,57.5,Silver,7,40.0|0.0|40.0|50.0|50.0|70.0|85.0|50.0,58.75,Pathfinder,100.0,100.0,1,1,16.25,Focused,NORMAL,PROGRESS_VISIBLE,64.0,NOT_ELIGIBLE,5,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001,0,0,0,7,1,1,0,2,OPR,1,1,"{'route_proven': 'possible', 'mastery_strong': 'possible', 'not_punished_for_efficiency': 'yes'}",,PASS
SYN-0049,Synthetic 49,Expedition,adult,ar,experienced,1055,5,65.83,Gold,8,40.0|50.0|85.0|50.0|75.0|85.0|50.0|50.0,86.25,Specialist,100.0,100.0,1,2,46.75,Expanding,NORMAL,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,70.35,NOT_ELIGIBLE,7,ACH-ACT-001|ACH-BRD-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-SEX-001,0,1,0,7,1,4,0,5,BLD|LED|OPR,1,1,{'baseline': 'ok'},,PASS
SYN-0050,Synthetic 50,Expedition,adult,en,new,440,3,37.5,Bronze,5,40.0|10.0|75.0|0.0|0.0|40.0|60.0|0.0,45.0,Scout,95.0,49.0,0,0,22.5,Focused,POSITIVE_STANDING,NOT_ELIGIBLE,48.95,NOT_ELIGIBLE,4,ACH-ACT-001|ACH-EVD-001|ACH-LRN-001|ACH-TEAM-001,0,0,2,3,0,2,0,2,LED|OPR,0,1,{'baseline': 'ok'},,PASS
SYN-0051,Synthetic 51,Expedition,adult,en,merit,1100,5,73.33,Gold,8,65.0|85.0|50.0|85.0|75.0|70.0|50.0|60.0,66.25,Specialist,81.67,81.67,1,1,57.0,Multi-Horizon,POSITIVE_STANDING,STANDARD_TEMPLATE_ELIGIBLE_FOR_REVIEW,78.65,NOT_ELIGIBLE,6,ACH-ACT-001|ACH-CAP-001|ACH-EVD-001|ACH-LRN-001|ACH-MST-001|ACH-TEAM-001,0,0,3,5,1,6,0,6,BLD|LED|OPR|PRT,1,1,{'baseline': 'ok'},,PASS
